trtid10,trtid00,placefp10,cbsa10,metdiv10,ccflag10,changetype,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
12031016724,12031016721,35000,27260,99999,1,3,4810,2396.424444,154.9514324,165.5969507,156.7256855,82.20705767,50.86192057,30.75371941,41.99065535,147.2630026,263.1808681,251.3525144,218.824542,201.0820116,178.016722,163.8226977,101.1324235,31.3451371,30.16230173,12.4197713,20.10820116,39.62498463,31.93655478,14.19402435,8.871265216,2413.575556,155.5428501,162.0484446,163.8226977,90.4869052,60.32460347,39.03356695,38.44214927,133.0689782,238.3413255,204.0391,224.1473011,226.5129718,189.8450756,165.005533,94.03541129,22.47387188,38.44214927,20.10820116,30.16230173,41.39923767,40.80781999,20.69961884,14.78544203
12031016725,12031016721,35000,27260,99999,1,3,3323,1655.575556,107.0485676,114.4030493,108.2743145,56.79294233,35.13807943,21.24628059,29.00934465,101.7369974,181.8191319,173.6474856,151.175458,138.9179884,122.983278,113.1773023,69.86757654,21.6548629,20.83769827,8.580228698,13.89179884,27.37501537,22.06344522,9.805975655,6.128734784,1667.424444,107.4571499,111.9515554,113.1773023,62.5130948,41.67539653,26.96643305,26.55785073,91.93102176,164.6586745,140.9609,154.8526989,156.4870282,131.1549244,113.994467,64.96458871,15.52612812,26.55785073,13.89179884,20.83769827,28.60076233,28.19218001,14.30038116,10.21455797
12031016726,12031016712,35000,27260,99999,1,3,3492.037869,1610.745556,120.6492294,127.4390129,95.57925964,52.75139467,31.33746218,9.401238653,16.19102212,55.36284985,140.4962888,156.6873109,156.1650199,120.6492294,133.1842143,116.9931921,69.46470783,21.93622352,23.50309663,14.10185798,21.93622352,35.51579047,33.94891736,26.63684285,30.81517114,1881.292313,123.7829756,101.8467521,96.62384171,63.71950643,37.60495461,16.19102212,20.89164145,60.06346917,142.5854529,151.4644005,152.5089826,164.5216764,155.6427288,121.1715204,83.56656581,19.84705938,36.56037254,15.14644005,34.99349943,62.67492435,58.49659606,64.24179746,97.14613275
12031016727,12031016712,35000,27260,99999,1,3,3193.962131,1473.254444,110.3507706,116.5609871,87.42074036,48.24860533,28.66253782,8.598761347,14.80897788,50.63715015,128.5037112,143.3126891,142.8349801,110.3507706,121.8157857,107.0068079,63.53529217,20.06377648,21.49690337,12.89814202,20.06377648,32.48420953,31.05108264,24.36315715,28.18482886,1720.707687,113.2170244,93.15324792,88.37615829,58.28049357,34.39504539,14.80897788,19.10835855,54.93653083,130.4145471,138.5355995,139.4910174,150.4783236,142.3572712,110.8284796,76.43343419,18.15294062,33.43962746,13.85355995,32.00650057,57.32507565,53.50340394,58.75820254,88.85386725
12031016728,12031016805,35000,27260,99999,1,3,5367.501797,2628.228452,210.138766,196.6938686,209.1428476,127.4775452,65.2326501,27.88571302,29.3795905,73.19999667,203.6652969,251.9673355,291.8040684,240.0163156,219.59999,198.6857053,109.0530563,30.87346798,37.84489624,20.4163256,20.4163256,26.39183553,25.89387637,8.963264899,3.485714127,2739.273345,191.2163178,201.6734602,215.1183576,115.0285662,69.21632338,33.36326379,26.39183553,87.64081234,208.6448885,252.9632538,273.8775386,275.8693752,256.9469271,192.2122362,114.0326479,31.37142715,35.85305959,18.42448896,24.39999889,54.27754855,22.40816225,17.9265298,20.4163256
12031016729,12031016723,35000,27260,99999,1,3,5410.498203,2649.281892,211.8220838,198.2694861,210.8181877,128.4987049,65.75519664,28.1090917,29.61493589,73.7863657,205.296759,253.9857214,294.1415667,241.9389678,221.3590971,200.2772783,109.9266265,31.12078009,38.14805301,20.57987071,20.57987071,26.6032475,26.10129943,9.035065188,3.513636462,2761.216311,192.7480573,203.2889667,216.8415645,115.9500032,69.77078117,33.63052042,26.6032475,88.34285961,210.3162396,254.9896175,276.0714363,278.0792286,259.005202,193.7519535,114.9461071,31.62272816,36.14026075,18.57207844,24.59545523,54.71233919,22.58766297,18.07013038,20.57987071
12031016801,12031016801,35000,27260,99999,1,1,2414,1174,69,80,114,72,23,8,3,17,36,42,83,106,125,121,110,20,30,13,26,39,16,10,11,1240,51,81,101,67,31,10,12,24,42,53,101,121,136,130,96,10,37,19,25,41,23,23,6
12031016803,12031016803,35000,27260,99999,1,1,7221,3530,235,255,284,170,91,43,27,44,111,214,333,321,377,392,229,52,78,40,66,70,52,27,19,3691,252,248,291,168,67,34,21,55,143,243,365,373,407,372,196,71,76,45,55,81,59,37,32
12031016804,12031016804,35000,27260,99999,1,1,7644,3783,201,296,333,237,94,33,33,57,95,180,290,381,409,426,270,73,84,49,61,97,50,24,10,3861,212,252,333,233,93,26,20,63,99,209,351,446,452,377,251,59,85,38,58,84,64,33,23
12031016805,12031016805,35000,27260,99999,1,1,4755,2311,217,197,201,115,58,15,16,44,135,208,242,230,206,164,74,21,23,13,21,26,22,22,41,2444,212,157,192,108,50,19,11,53,152,240,262,233,210,135,63,22,28,8,23,37,42,69,118
12031016806,12031016806,35000,27260,99999,1,1,7092,3511,301,263,273,162,85,34,32,56,184,302,396,382,315,303,164,52,48,26,37,33,34,16,13,3581,311,298,275,151,81,34,14,85,204,320,399,379,343,267,155,38,46,23,34,41,47,21,15
12031016807,12031016802,35000,27260,99999,1,3,4429.833938,2111.853306,147.933067,174.0389024,156.0911406,85.38783649,41.33423932,17.94776181,20.12324809,76.68589137,225.7067016,223.5312153,212.1099123,172.4072877,150.1085533,119.6517454,91.91429533,23.38647751,30.45680792,14.68453239,26.10583536,40.24649618,35.89552362,15.22840396,10.8774314,2317.980631,147.933067,151.740168,151.1962965,71.24717567,39.15875304,17.40389024,20.66711966,101.7039836,231.1454173,226.7944447,218.0924996,195.2498936,153.3717827,169.6879298,111.4936719,31.54455106,30.45680792,26.64970693,38.0710099,63.08910212,58.73812956,40.24649618,22.29873437
12031016808,12031016802,35000,27260,99999,1,3,3715.166062,1771.146694,124.066933,145.9610976,130.9088594,71.61216351,34.66576068,15.05223819,16.87675191,64.31410863,189.2932984,187.4687847,177.8900877,144.5927123,125.8914467,100.3482546,77.08570467,19.61352249,25.54319208,12.31546761,21.89416464,33.75350382,30.10447638,12.77159604,9.1225686,1944.019369,124.066933,127.259832,126.8037035,59.75282433,32.84124696,14.59610976,17.33288034,85.29601641,193.8545827,190.2055553,182.9075004,163.7501064,128.6282173,142.3120702,93.50632815,26.45544894,25.54319208,22.35029307,31.9289901,52.91089788,49.26187044,33.75350382,18.70126563
12031017100,12031002600,35000,27260,99999,1,4,5521,2546.743464,120.8878212,134.5760894,136.5859218,84.46502793,56.83575419,39.24581006,43.27530726,130.5112849,295.9832402,255.9734078,235.2487151,217.3470391,174.1798883,130.8947486,81.71776536,22.18681564,53.27530726,23.21631285,50.30480447,72.4522905,67.31463687,50.15731844,70.10815642,2974.256536,128.6715084,130.4286034,105.5957542,76.40603352,67.66860335,49.32446927,23.38346369,156.7767598,242.4650279,207.858324,204.9468156,164.8288268,181.3863687,130.9635754,83.92424581,31.36379888,35.40312849,39.35396648,55.50145251,112.7275978,184.5997765,200.3932961,360.2851397
12031017200,12031001800,35000,27260,99999,1,2,1512,781,49,48,39,12,8,6,4,15,29,34,48,77,82,63,68,10,32,22,31,47,28,10,19,731,49,48,43,37,9,8,5,25,38,21,41,55,38,41,29,13,20,12,22,40,45,43,49
12031017300,12031013600,35000,27260,99999,1,2,6428,3168,285,274,310,172,81,45,35,99,204,247,284,252,227,171,165,51,68,37,41,52,31,25,12,3260,272,299,277,173,91,38,30,132,195,250,271,263,207,183,160,42,72,48,66,71,58,27,35
12031017400,12031000500,35000,27260,99999,1,2,3576,1775,107,137,149,101,62,21,28,68,101,106,169,165,152,107,68,16,32,22,42,50,36,17,19,1801,106,152,137,83,40,23,19,55,114,136,132,153,118,86,65,31,45,33,36,66,81,45,45
12089050101,12089050100,22175,27260,99999,0,3,5680,2692.189637,126.4124261,158.6739307,192.9106294,123.7788339,72.42378579,30.28631042,26.33592211,85.59174684,150.114756,154.0651443,202.1282022,221.2217457,225.172134,208.7121827,188.3018431,58.59742668,77.69097021,49.37985395,69.79019358,117.1948534,77.69097021,48.06305784,27.65271821,2987.810363,148.7979599,156.0403385,169.2082995,101.3933001,51.3550481,28.96951432,20.41033963,73.74058189,134.9716008,175.133882,215.9545613,247.5576678,246.2408717,239.6568912,200.8114061,54.64703837,99.41810595,52.01344616,92.83412542,165.9163093,127.0708242,92.83412542,92.83412542
